Date : 2023-07-19 14:07:43
Directory : /Users/buudinhha/project2
Total : 102 files,  47528 codes, 3598 comments, 6741 blanks, all 57867 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| CSS        |         21 |     20,145 |        483 |      1,994 |     22,622 |
| JavaScript |         46 |     18,606 |      2,855 |      4,108 |     25,569 |
| XML        |          8 |      4,352 |         15 |        500 |      4,867 |
| JSON       |          3 |      3,471 |          0 |          2 |      3,473 |
| HTML       |         20 |        904 |        187 |        119 |      1,210 |
| Ignore     |          1 |         28 |          5 |          2 |         35 |
| Docker     |          1 |         12 |         13 |         12 |         37 |
| YAML       |          1 |          8 |         40 |          4 |         52 |
| Markdown   |          1 |          2 |          0 |          0 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                      |        102 |     47,528 |      3,598 |      6,741 |     57,867 |
| . (Files)                                                                              |          7 |      3,571 |         58 |         35 |      3,664 |
| controllers                                                                            |          3 |        451 |         26 |         57 |        534 |
| data                                                                                   |          1 |          1 |          0 |          0 |          1 |
| middleware                                                                             |          1 |         11 |          2 |          4 |         17 |
| models                                                                                 |          1 |         29 |          0 |          3 |         32 |
| public                                                                                 |         67 |     42,478 |      3,320 |      6,496 |     52,294 |
| public/css                                                                             |         13 |     11,870 |        459 |        645 |     12,974 |
| public/css/admin                                                                       |          1 |      9,905 |        295 |        464 |     10,664 |
| public/css/main-page                                                                   |         12 |      1,965 |        164 |        181 |      2,310 |
| public/fonts                                                                           |          9 |      4,668 |         21 |        748 |      5,437 |
| public/fonts/admin                                                                     |          8 |      3,983 |         21 |        748 |      4,752 |
| public/fonts/admin/datta                                                               |          2 |         96 |          0 |          8 |        104 |
| public/fonts/admin/datta (Files)                                                       |          1 |         74 |          0 |          6 |         80 |
| public/fonts/admin/datta/fonts                                                         |          1 |         22 |          0 |          2 |         24 |
| public/fonts/admin/feather                                                             |          2 |        526 |          5 |        737 |      1,268 |
| public/fonts/admin/feather/css                                                         |          1 |        261 |          2 |        245 |        508 |
| public/fonts/admin/feather/fonts                                                       |          1 |        265 |          3 |        492 |        760 |
| public/fonts/admin/fontawesome                                                         |          4 |      3,361 |         16 |          3 |      3,380 |
| public/fonts/admin/fontawesome/css                                                     |          1 |          1 |          4 |          0 |          5 |
| public/fonts/admin/fontawesome/webfonts                                                |          3 |      3,360 |         12 |          3 |      3,375 |
| public/fonts/main-page                                                                 |          1 |        685 |          0 |          0 |        685 |
| public/js                                                                              |         20 |      2,578 |        915 |        914 |      4,407 |
| public/js/admin                                                                        |          5 |        243 |         13 |          9 |        265 |
| public/js/admin (Files)                                                                |          3 |         23 |         13 |          2 |         38 |
| public/js/admin/pages                                                                  |          2 |        220 |          0 |          7 |        227 |
| public/js/main-page                                                                    |         15 |      2,335 |        902 |        905 |      4,142 |
| public/plugins                                                                         |         25 |     23,362 |      1,925 |      4,189 |     29,476 |
| public/plugins/amchart                                                                 |         11 |        103 |          0 |          8 |        111 |
| public/plugins/amchart/js                                                              |         11 |        103 |          0 |          8 |        111 |
| public/plugins/amchart/js (Files)                                                      |          9 |         83 |          0 |          5 |         88 |
| public/plugins/amchart/js/images                                                       |          2 |         20 |          0 |          3 |         23 |
| public/plugins/animation                                                               |          1 |          2 |          5 |          0 |          7 |
| public/plugins/animation/css                                                           |          1 |          2 |          5 |          0 |          7 |
| public/plugins/bootstrap                                                               |          5 |     10,766 |        375 |      1,861 |     13,002 |
| public/plugins/bootstrap/css                                                           |          2 |      7,934 |         13 |      1,096 |      9,043 |
| public/plugins/bootstrap/js                                                            |          3 |      2,832 |        362 |        765 |      3,959 |
| public/plugins/chart-morris                                                            |          3 |          5 |          5 |          1 |         11 |
| public/plugins/chart-morris/css                                                        |          1 |          2 |          0 |          1 |          3 |
| public/plugins/chart-morris/js                                                         |          2 |          3 |          5 |          0 |          8 |
| public/plugins/google-maps                                                             |          1 |        184 |          5 |          0 |        189 |
| public/plugins/google-maps/js                                                          |          1 |        184 |          5 |          0 |        189 |
| public/plugins/jquery                                                                  |          1 |          1 |          1 |          1 |          3 |
| public/plugins/jquery-scrollbar                                                        |          2 |          2 |          0 |          1 |          3 |
| public/plugins/jquery-scrollbar/css                                                    |          1 |          1 |          0 |          1 |          2 |
| public/plugins/jquery-scrollbar/js                                                     |          1 |          1 |          0 |          0 |          1 |
| public/plugins/jquery-ui                                                               |          1 |     12,299 |      1,534 |      2,317 |     16,150 |
| public/plugins/jquery-ui/js                                                            |          1 |     12,299 |      1,534 |      2,317 |     16,150 |
| public/plugins/jquery/js                                                               |          1 |          1 |          1 |          1 |          3 |
| routes                                                                                 |          2 |         83 |          5 |         27 |        115 |
| views                                                                                  |         20 |        904 |        187 |        119 |      1,210 |
